league_code,league_ar,team_id,name_en,name_en_official,name_ar,short_name_ar,city,logo,logo_local,logo_note
EGY,الدوري المصري,1039,El Geish,,نادي طلائع الجيش,طلائع الجيش,Cairo,https://media.api-sports.io/football/teams/1039.png,,
UAE,الدوري الإماراتي,2865,Al Ain,,نادي العين,العين,Al Ain,https://media.api-sports.io/football/teams/2865.png,,
UAE,الدوري الإماراتي,2867,Dibba Al-Fujairah,,نادي دبا الفجيرة,دبا الفجيرة,Dibba Al-Fujairah,https://media.api-sports.io/football/teams/2867.png,,
UAE,الدوري الإماراتي,2868,Emirates Club,,نادي الإمارات,الإمارات,Ras Al Khaimah,https://media.api-sports.io/football/teams/2868.png,,
UAE,الدوري الإماراتي,2869,Hatta SC,,نادي حتا,حتا,Hatta,https://media.api-sports.io/football/teams/2869.png,,
UAE,الدوري الإماراتي,2870,Shabab Al Ahli Dubai,,نادي شباب الأهلي دبي,شباب الأهلي,Dubai,https://media.api-sports.io/football/teams/2870.png,,
UAE,الدوري الإماراتي,2871,Al-Jazira,,نادي الجزيرة,الجزيرة الإماراتي,Abu Dhabi,https://media.api-sports.io/football/teams/2871.png,,
UAE,الدوري الإماراتي,2872,Al-Wasl FC,,نادي الوصل,الوصل,Dubai,https://media.api-sports.io/football/teams/2872.png,,
UAE,الدوري الإماراتي,2873,Al-Dhafra,,نادي الظفرة,الظفرة,Madinat Zayed,https://media.api-sports.io/football/teams/2873.png,,
UAE,الدوري الإماراتي,2874,Sharjah FC,,نادي الشارقة,الشارقة,Sharjah,https://media.api-sports.io/football/teams/2874.png,,
UAE,الدوري الإماراتي,2875,Al Wahda FC,,نادي الوحدة,الوحدة الإماراتي,Abu Dhabi,https://media.api-sports.io/football/teams/2875.png,,
UAE,الدوري الإماراتي,2876,Al-Ittihad Kalba,,نادي اتحاد كلباء,اتحاد كلباء,Kalba,https://media.api-sports.io/football/teams/2876.png,,
UAE,الدوري الإماراتي,2877,Baniyas SC,,نادي بني ياس,بني ياس,Abu Dhabi,https://media.api-sports.io/football/teams/2877.png,,
UAE,الدوري الإماراتي,2879,Ajman,,نادي عجمان,عجمان,Ajman,https://media.api-sports.io/football/teams/2879.png,,
UAE,الدوري الإماراتي,4912,Khorfakkan,,نادي خورفكان,خورفكان,Khor Fakkan,https://media.api-sports.io/football/teams/4912.png,,
UAE,الدوري الإماراتي,9136,Al Bataeh,,نادي البطائح,البطائح,Sharjah,https://media.api-sports.io/football/teams/9136.png,,
UAE,الدوري الإماراتي,9139,Al Urooba,,نادي العروبة,العروبة الإماراتي,Fujairah,https://media.api-sports.io/football/teams/9139.png,,
UAE,الدوري الإماراتي,9140,Dibba Al Hisn,,نادي دبا الحصن,دبا الحصن,Dibba Al Hisn,https://media.api-sports.io/football/teams/9140.png,,
UAE,الدوري الإماراتي,10155,Al Nasr,,نادي النصر,النصر الإماراتي,Dubai,https://media.api-sports.io/football/teams/10155.png,,
UAE,الدوري الإماراتي,22321,Dubai United,United FC,نادي يونايتد,يونايتد إف سي,Dubai,https://media.api-sports.io/football/teams/22321.png,,
EGY,الدوري المصري,1030,Ismaily SC,,النادي الإسماعيلي,الإسماعيلي,Ismailia,https://media.api-sports.io/football/teams/1030.png,,
EGY,الدوري المصري,1032,El Dakhleya,,نادي الداخلية,الداخلية,Cairo,https://media.api-sports.io/football/teams/1032.png,,
EGY,الدوري المصري,1048,Aswan Sc,,نادي أسوان,أسوان,Aswan,https://media.api-sports.io/football/teams/1048.png,,
EGY,الدوري المصري,1576,Haras El Hodood,,نادي حرس الحدود,حرس الحدود,Cairo,https://media.api-sports.io/football/teams/1576.png,,
EGY,الدوري المصري,15736,Pharco,,نادي فاركو,فاركو,Alexandria,https://media.api-sports.io/football/teams/15736.png,,
EGY,الدوري المصري,18036,Baladiyyat Al Mehalla,,نادي بلدية المحلة,بلدية المحلة,El-Mahalla El-Kubra,https://media.api-sports.io/football/teams/18036.png,,
EGY,الدوري المصري,20458,Kahraba Ismailia,,نادي كهرباء الإسماعيلية,كهرباء الإسماعيلية,Ismailia,https://media.api-sports.io/football/teams/20458.png,,
QAT,دوري نجوم قطر,2896,Al Ahli Doha,,النادي الأهلي,الأهلي,Doha,https://media.api-sports.io/football/teams/2896.png,,
QAT,دوري نجوم قطر,2895,Al Sadd,,نادي السد,السد,Doha,https://media.api-sports.io/football/teams/2895.png,,
QAT,دوري نجوم قطر,2916,Al Shamal,,نادي الشمال,الشمال,Al-Khor,https://media.api-sports.io/football/teams/2916.png,,
QAT,دوري نجوم قطر,2900,Al Wakrah,,نادي الوكرة,الوكرة,Al-Wakra,https://media.api-sports.io/football/teams/2900.png,,
QAT,دوري نجوم قطر,2905,Al-Arabi SC,,النادي العربي,العربي,Doha,https://media.api-sports.io/football/teams/2905.png,,
QAT,دوري نجوم قطر,2904,Al-Duhail SC,,نادي الدحيل,الدحيل,Doha,https://media.api-sports.io/football/teams/2904.png,,
QAT,دوري نجوم قطر,2903,Al-Gharafa,,نادي الغرافة,الغرافة,Doha,https://media.api-sports.io/football/teams/2903.png,,
QAT,دوري نجوم قطر,2897,Al-Rayyan SC,,نادي الريان,الريان,Doha,https://media.api-sports.io/football/teams/2897.png,,
QAT,دوري نجوم قطر,2907,Qatar SC,,نادي قطر,قطر,Doha,https://media.api-sports.io/football/teams/2907.png,,
QAT,دوري نجوم قطر,2893,Al Shahaniya,,نادي الشحانية,الشحانية,Ar-Rayyan,https://media.api-sports.io/football/teams/2893.png,,
QAT,دوري نجوم قطر,2898,Al-Sailiya,,نادي السيلية,السيلية,Doha,https://media.api-sports.io/football/teams/2898.png,,
QAT,دوري نجوم قطر,2899,UMM Salal,,نادي أم صلال,أم صلال,Doha,https://media.api-sports.io/football/teams/2899.png,,
QAT,دوري نجوم قطر,2908,Al-Markhiya,,نادي المرخية,المرخية,Al-Wakra,https://media.api-sports.io/football/teams/2908.png,,
